time,Xm
42.6,-6.554802734
42.7,-6.549594117
42.8,-6.544385296
42.9,-6.539176309
43,-6.533967195
43.1,-6.528757991
43.2,-6.523548735
43.3,-6.518339465
43.4,-6.513130218
43.5,-6.507921034
43.6,-6.50271195
43.7,-6.497503005
43.8,-6.492294236
43.9,-6.487085681
44,-6.481877379
44.1,-6.476669369
44.2,-6.471461688
44.3,-6.466254374
44.4,-6.461047467
44.5,-6.455841005
44.6,-6.450635026
44.7,-6.445429568
44.8,-6.440224671
44.9,-6.435020373
45,-6.429816712
45.1,-6.424613728
45.2,-6.419411459
45.3,-6.414209943
45.4,-6.409009221
45.5,-6.40380933
45.6,-6.398610309
45.7,-6.393412197
45.8,-6.388215034
45.9,-6.383018858
46,-6.377823708
46.1,-6.372629623
46.2,-6.367436643
46.3,-6.362244805
46.4,-6.35705415
46.5,-6.351864717
46.6,-6.346676544
46.7,-6.341489671
46.8,-6.336304136
46.9,-6.33111998
47,-6.325937242
47.1,-6.32075596
47.2,-6.315576174
47.3,-6.310397924
47.4,-6.305221248
47.5,-6.300046186
47.6,-6.294872777
47.7,-6.28970106
47.8,-6.284531075
47.9,-6.279362862
48,-6.27419646
48.1,-6.269031907
48.2,-6.263869244
48.3,-6.25870851
48.4,-6.253549745
48.5,-6.248392987
48.6,-6.243238277
48.7,-6.238085653
48.8,-6.232935156
48.9,-6.227786825
49,-6.222640699
49.1,-6.217496819
49.2,-6.212355223
49.3,-6.207215951
49.4,-6.202079044
49.5,-6.196944541
49.6,-6.191812481
49.7,-6.186682904
49.8,-6.181555851
49.9,-6.176431361
50,-6.171309474
50.1,-6.166190229
50.2,-6.161073667
50.3,-6.155959828
50.4,-6.150848751
50.5,-6.145740477
50.6,-6.140635045
50.7,-6.135532495
50.8,-6.130432867
50.9,-6.125336202
51,-6.120242539
51.1,-6.115151918
51.2,-6.110064379
51.3,-6.104979962
51.4,-6.099898708
51.5,-6.094820656
51.6,-6.089745846
51.7,-6.084674319
51.8,-6.079606114
51.9,-6.074541272
52,-6.069479832
52.1,-6.064421835
52.2,-6.05936732
52.3,-6.054316329
52.4,-6.0492689
52.5,-6.044225073
52.6,-6.03918489
52.7,-6.034148388
52.8,-6.02911561
52.9,-6.024086594
53,-6.019061381
53.1,-6.01404001
53.2,-6.009022521
53.3,-6.004008955
53.4,-5.998999351
53.5,-5.99399375
53.6,-5.98899219
53.7,-5.983994713
53.8,-5.979001358
53.9,-5.974012165
54,-5.969027174
54.1,-5.964046426
54.2,-5.959069959
54.3,-5.954097813
54.4,-5.949130029
54.5,-5.944166647
54.6,-5.939207706
54.7,-5.934253246
54.8,-5.929303306
54.9,-5.924357927
55,-5.919417149
55.1,-5.91448101
55.2,-5.909549552
55.3,-5.904622813
55.4,-5.899700833
55.5,-5.894783651
55.6,-5.889871309
55.7,-5.884963844
55.8,-5.880061297
55.9,-5.875163708
56,-5.870271115
56.1,-5.865383559
56.2,-5.86050108
56.3,-5.855623716
56.4,-5.850751507
56.5,-5.845884494
56.6,-5.841022715
56.7,-5.83616621
56.8,-5.831315018
56.9,-5.82646918
57,-5.821628734
57.1,-5.816793719
57.2,-5.811964176
57.3,-5.807140144
57.4,-5.802321662
57.5,-5.79750877
57.6,-5.792701506
57.7,-5.787899911
57.8,-5.783104023
57.9,-5.778313881
58,-5.773529526
58.1,-5.768750997
58.2,-5.763978332
58.3,-5.759211571
58.4,-5.754450753
58.5,-5.749695918
58.6,-5.744947105
58.7,-5.740204352
58.8,-5.735467699
58.9,-5.730737186
59,-5.726012851
59.1,-5.721294734
59.2,-5.716582874
59.3,-5.711877309
59.4,-5.707178079
59.5,-5.702485223
59.6,-5.69779878
59.7,-5.693118789
59.8,-5.688445289
59.9,-5.683778318
60,-5.679117916
60.1,-5.67446412
60.2,-5.669816971
60.3,-5.665176507
60.4,-5.660542766
60.5,-5.655915787
60.6,-5.651295609
60.7,-5.646682271
60.8,-5.642075811
60.9,-5.637476268
61,-5.632883681
61.1,-5.628298087
61.2,-5.623719526
61.3,-5.619148036
61.4,-5.614583655
61.5,-5.610026421
61.6,-5.605476374
61.7,-5.600933551
61.8,-5.596397991
61.9,-5.591869732
62,-5.587348812
62.1,-5.58283527
62.2,-5.578329142
62.3,-5.573830468
62.4,-5.569339286
62.5,-5.564855633
62.6,-5.560379548
62.7,-5.555911068
62.8,-5.551450231
62.9,-5.546997075
63,-5.542551638
63.1,-5.538113958
63.2,-5.533684072
63.3,-5.529262018
63.4,-5.524847835
63.5,-5.520441559
63.6,-5.516043228
63.7,-5.51165288
63.8,-5.507270553
63.9,-5.502896283
64,-5.498530109
64.1,-5.494172067
64.2,-5.489822194
64.3,-5.485480529
64.4,-5.481147109
64.5,-5.476821969
64.6,-5.472505149
64.7,-5.468196684
64.8,-5.463896612
64.9,-5.45960497
65,-5.455321794
65.1,-5.451047121
65.2,-5.446780989
65.3,-5.442523433
65.4,-5.438274491
65.5,-5.434034199
65.6,-5.429802594
65.7,-5.425579713
65.8,-5.421365591
65.9,-5.417160266
66,-5.412963774
66.1,-5.408776151
66.2,-5.404597434
66.3,-5.400427658
66.4,-5.39626686
66.5,-5.392115076
66.6,-5.387972342
66.7,-5.383838694
66.8,-5.379714167
66.9,-5.375598798
67,-5.371492622
67.1,-5.367395675
67.2,-5.363307993
67.3,-5.359229611
67.4,-5.355160564
67.5,-5.351100889
67.6,-5.347050621
67.7,-5.343009795
67.8,-5.338978446
67.9,-5.33495661
68,-5.330944322
68.1,-5.326941616
68.2,-5.322948528
68.3,-5.318965094
68.4,-5.314991347
68.5,-5.311027322
68.6,-5.307073055
68.7,-5.30312858
68.8,-5.299193932
68.9,-5.295269144
69,-5.291354253
69.1,-5.287449291
69.2,-5.283554293
69.3,-5.279669294
69.4,-5.275794328
69.5,-5.271929429
69.6,-5.26807463
69.7,-5.264229966
69.8,-5.260395471
69.9,-5.256571177
70,-5.25275712
70.1,-5.248953332
70.2,-5.245159847
70.3,-5.241376698
70.4,-5.237603919
70.5,-5.233841543
70.6,-5.230089604
70.7,-5.226348134
70.8,-5.222617166
70.9,-5.218896734
71,-5.215186871
71.1,-5.211487609
71.2,-5.207798981
71.3,-5.20412102
71.4,-5.200453759
71.5,-5.196797229
71.6,-5.193151465
71.7,-5.189516496
71.8,-5.185892357
71.9,-5.182279079
72,-5.178676695
72.1,-5.175085236
72.2,-5.171504734
72.3,-5.167935222
72.4,-5.164376731
72.5,-5.160829293
72.6,-5.15729294
72.7,-5.153767703
72.8,-5.150253614
72.9,-5.146750704
73,-5.143259005
73.1,-5.139778547
73.2,-5.136309362
73.3,-5.132851481
73.4,-5.129404934
73.5,-5.125969753
73.6,-5.122545969
73.7,-5.119133612
73.8,-5.115732712
73.9,-5.1123433
74,-5.108965406
74.1,-5.105599061
74.2,-5.102244295
74.3,-5.098901137
74.4,-5.095569618
74.5,-5.092249766
74.6,-5.088941613
74.7,-5.085645188
74.8,-5.082360519
74.9,-5.079087637
75,-5.07582657
75.1,-5.072577348
75.2,-5.06934
75.3,-5.066114556
75.4,-5.062901043
75.5,-5.05969949
75.6,-5.056509928
75.7,-5.053332383
75.8,-5.050166886
75.9,-5.047013463
76,-5.043872144
76.1,-5.040742957
76.2,-5.03762593
76.3,-5.034521091
76.4,-5.031428468
76.5,-5.028348088
76.6,-5.02527998
76.7,-5.022224172
76.8,-5.01918069
76.9,-5.016149563
77,-5.013130817
77.1,-5.01012448
77.2,-5.007130579
77.3,-5.004149142
77.4,-5.001180194
77.5,-4.998223764
77.6,-4.995279878
77.7,-4.992348562
77.8,-4.989429844
77.9,-4.986523748
78,-4.983630303
78.1,-4.980749534
78.2,-4.977881468
78.3,-4.975026129
78.4,-4.972183545
78.5,-4.969353741
78.6,-4.966536742
78.7,-4.963732575
78.8,-4.960941264
78.9,-4.958162836
79,-4.955397315
79.1,-4.952644727
79.2,-4.949905096
79.3,-4.947178447
79.4,-4.944464806
79.5,-4.941764197
79.6,-4.939076644
79.7,-4.936402172
79.8,-4.933740806
79.9,-4.931092569
80,-4.928457485
80.1,-4.92583558
80.2,-4.923226876
80.3,-4.920631397
80.4,-4.918049168
80.5,-4.91548021
80.6,-4.912924549
80.7,-4.910382207
80.8,-4.907853208
80.9,-4.905337574
81,-4.902835328
81.1,-4.900346494
81.2,-4.897871094
81.3,-4.895409151
81.4,-4.892960686
81.5,-4.890525723
81.6,-4.888104284
81.7,-4.88569639
81.8,-4.883302065
81.9,-4.880921328
82,-4.878554204
82.1,-4.876200712
82.2,-4.873860876
82.3,-4.871534715
82.4,-4.869222251
82.5,-4.866923507
82.6,-4.864638501
82.7,-4.862367257
82.8,-4.860109793
82.9,-4.857866131
83,-4.855636292
83.1,-4.853420296
83.2,-4.851218164
83.3,-4.849029914
83.4,-4.846855569
83.5,-4.844695147
83.6,-4.842548668
83.7,-4.840416152
83.8,-4.838297619
83.9,-4.836193087
84,-4.834102577
84.1,-4.832026108
84.2,-4.829963699
84.3,-4.827915368
84.4,-4.825881135
84.5,-4.823861018
84.6,-4.821855036
84.7,-4.819863208
84.8,-4.817885551
84.9,-4.815922083
85,-4.813972824
85.1,-4.812037791
85.2,-4.810117002
85.3,-4.808210474
85.4,-4.806318226
85.5,-4.804440273
85.6,-4.802576635
85.7,-4.800727328
85.8,-4.798892369
85.9,-4.797071774
86,-4.795265562
86.1,-4.793473749
86.2,-4.791696351
86.3,-4.789933384
86.4,-4.788184867
86.5,-4.786450813
86.6,-4.784731241
86.7,-4.783026166
86.8,-4.781335603
86.9,-4.779659568
87,-4.777998077
87.1,-4.776351146
87.2,-4.774718789
87.3,-4.773101022
87.4,-4.771497859
87.5,-4.769909316
87.6,-4.768335408
87.7,-4.766776148
87.8,-4.765231552
87.9,-4.763701634
88,-4.762186407
88.1,-4.760685887
88.2,-4.759200086
88.3,-4.757729019
88.4,-4.756272699
88.5,-4.75483114
88.6,-4.753404355
88.7,-4.751992356
88.8,-4.750595158
88.9,-4.749212772
89,-4.747845213
89.1,-4.746492491
89.2,-4.745154621
89.3,-4.743831614
89.4,-4.742523483
89.5,-4.74123024
89.6,-4.739951896
89.7,-4.738688465
89.8,-4.737439957
89.9,-4.736206384
90,-4.734987758
