time,Xm
1014,-12.3419
1015,-12.3534
1016,-12.3642
1017,-12.3709
1018,-12.3778
1019,-12.3846
1020,-12.3893
1021,-12.3941
1022,-12.3976
1023,-12.4004
1024,-12.4012
1025,-12.4021
1026,-12.4034
1027,-12.4028
1028,-12.403
1029,-12.4019
1030,-12.401
1031,-12.3989
1032,-12.3973
1033,-12.3928
1034,-12.3885
1035,-12.3824
1036,-12.3744
1037,-12.3653
1038,-12.3549
1039,-12.3443
1040,-12.3347
1041,-12.3247
1042,-12.3139
1043,-12.3031
1044,-12.2909
1045,-12.2801
1046,-12.2691
1047,-12.2571
1048,-12.2437
1049,-12.2348
1050,-12.2188
1051,-12.2043
1052,-12.1913
1053,-12.1778
1054,-12.1642
1055,-12.1495
1056,-12.1354
1057,-12.1217
1058,-12.1089
1059,-12.0957
1060,-12.084
1061,-12.0702
1062,-12.0572
1063,-12.0442
1064,-12.0314
1065,-12.0197
1066,-12.0088
1067,-11.9976
1068,-11.9867
1069,-11.9746
1070,-11.964
1071,-11.9536
1072,-11.9438
1073,-11.9352
1074,-11.9261
1075,-11.9187
1076,-11.9102
1077,-11.9027
1078,-11.8959
1079,-11.8901
1080,-11.8851
1081,-11.8797
1082,-11.8749
1083,-11.8708
1084,-11.8673
1085,-11.8645
1086,-11.8632
1087,-11.8619
1088,-11.8602
1089,-11.86
1090,-11.8604
1091,-11.8604
1092,-11.8617
1093,-11.8632
1094,-11.8656
1095,-11.8697
1096,-11.8741
1097,-11.8812
1098,-11.8892
1099,-11.8999
1100,-11.9109
1101,-11.923
1102,-11.9354
1103,-11.948
1104,-11.9625
1105,-11.977
1106,-11.9928
1107,-12.0095
1108,-12.0279
1109,-12.0455
1110,-12.0652
1111,-12.0851
1112,-12.1055
1113,-12.1276
1114,-12.149
1115,-12.172
1116,-12.1952
1117,-12.2214
1118,-12.2465
1119,-12.2749
1120,-12.3022
1121,-12.3304
1122,-12.3592
1123,-12.3906
1124,-12.4205
1125,-12.4522
1126,-12.484
1127,-12.5187
1128,-12.5525
1129,-12.5874
1130,-12.6222
1131,-12.6584
1132,-12.6966
1133,-12.7334
1134,-12.7724
1135,-12.8103
1136,-12.848
1137,-12.8864
1138,-12.9256
1139,-12.9661
1140,-13.0058
1141,-13.0471
1142,-13.0879
1143,-13.1306
1144,-13.1726
1145,-13.2144
1146,-13.258
1147,-13.3011
1148,-13.3425
1149,-13.3862
1150,-13.4307
1151,-13.4727
1152,-13.5171
1153,-13.5594
1154,-13.6016
1155,-13.6445
1156,-13.6883
1157,-13.7312
1158,-13.7732
1159,-13.8159
1160,-13.8586
1161,-13.9017
1162,-13.9429
1163,-13.9834
1164,-14.0243
1165,-14.064
1166,-14.1045
1167,-14.1437
1168,-14.1832
1169,-14.2217
1170,-14.2601
1171,-14.2982
1172,-14.3348
1173,-14.371
1174,-14.4063
1175,-14.4432
1176,-14.4765
1177,-14.5099
1178,-14.5413
1179,-14.5727
1180,-14.602
1181,-14.6313
1182,-14.659
1183,-14.6865
1184,-14.7125
1185,-14.7357
1186,-14.7593
1187,-14.781
1188,-14.8022
1189,-14.8206
1190,-14.839
1191,-14.8568
1192,-14.8722
1193,-14.8863
1194,-14.901
1195,-14.9103
1196,-14.9201
1197,-14.9296
1198,-14.9361
1199,-14.942
1200,-14.945
1201,-14.9487
1202,-14.9498
1203,-14.9498
1204,-14.9478
1205,-14.9456
1206,-14.9428
1207,-14.9357
1208,-14.9283
1209,-14.9181
1210,-14.9051
1211,-14.8897
1212,-14.8715
1213,-14.8501
1214,-14.8293
1215,-14.8055
1216,-14.781
1217,-14.7552
1218,-14.7251
1219,-14.6947
1220,-14.6625
1221,-14.6282
1222,-14.5925
1223,-14.5539
1224,-14.514
1225,-14.4726
1226,-14.4297
1227,-14.3847
1228,-14.3381
1229,-14.2893
1230,-14.2384
1231,-14.1851
1232,-14.1307
1233,-14.0755
1234,-14.0187
1235,-13.9591
1236,-13.8976
1237,-13.8352
1238,-13.7702
1239,-13.7026
1240,-13.6345
1241,-13.5663
1242,-13.495
1243,-13.4237
1244,-13.349
1245,-13.2747
1246,-13.1986
1247,-13.1204
1248,-13.0422
1249,-12.9624
1250,-12.8814
1251,-12.7993
1252,-12.7145
1253,-12.6296
1254,-12.5445
1255,-12.4561
1256,-12.3705
1257,-12.2808
1258,-12.1908
1259,-12.1011
1260,-12.0101
1261,-11.9187
1262,-11.8266
1263,-11.7313
1264,-11.6383
1265,-11.5449
1266,-11.4515
1267,-11.3579
1268,-11.2641
1269,-11.1692
1270,-11.0737
1271,-10.9783
1272,-10.8823
1273,-10.7879
1274,-10.6934
1275,-10.5992
1276,-10.5027
1277,-10.4093
1278,-10.3149
1279,-10.2206
1280,-10.127
1281,-10.0351
1282,-9.94371
1283,-9.85271
1284,-9.76279
1285,-9.67308
1286,-9.5849
1287,-9.49801
1288,-9.41026
1289,-9.32337
1290,-9.23887
1291,-9.15545
1292,-9.07289
1293,-8.99207
1294,-8.91277
1295,-8.83477
1296,-8.75741
1297,-8.68115
1298,-8.60748
1299,-8.53532
1300,-8.46469
1301,-8.39535
1302,-8.32883
1303,-8.26231
1304,-8.19926
1305,-8.13794
1306,-8.07857
1307,-8.02029
1308,-7.96352
1309,-7.90957
1310,-7.85886
1311,-7.80751
1312,-7.76006
1313,-7.71413
1314,-7.66992
1315,-7.62854
1316,-7.58932
1317,-7.5514
1318,-7.51587
1319,-7.48207
1320,-7.45043
1321,-7.42096
1322,-7.3941
1323,-7.36875
1324,-7.3473
1325,-7.32628
1326,-7.30743
1327,-7.29053
1328,-7.27644
1329,-7.26323
1330,-7.25109
1331,-7.24373
1332,-7.23853
1333,-7.23441
1334,-7.23181
1335,-7.23159
1336,-7.23116
1337,-7.23289
1338,-7.23571
1339,-7.24134
1340,-7.24784
1341,-7.25911
1342,-7.27276
1343,-7.28858
1344,-7.30829
1345,-7.32845
1346,-7.35011
1347,-7.37395
1348,-7.398
1349,-7.42617
1350,-7.45563
1351,-7.48597
1352,-7.51782
1353,-7.55075
1354,-7.58412
1355,-7.61922
1356,-7.65541
1357,-7.69398
1358,-7.73298
1359,-7.77198
1360,-7.81466
1361,-7.85562
1362,-7.897
1363,-7.93882
1364,-7.9815
1365,-8.02527
1366,-8.07099
1367,-8.11779
1368,-8.16416
1369,-8.21139
1370,-8.25711
1371,-8.30565
1372,-8.3531
1373,-8.40207
1374,-8.45104
1375,-8.49892
1376,-8.54789
1377,-8.59729
1378,-8.64691
1379,-8.69285
1380,-8.74138
1381,-8.7871
1382,-8.83477
1383,-8.88309
1384,-8.92816
1385,-8.97452
1386,-9.02046
1387,-9.06423
1388,-9.1067
1389,-9.14916
1390,-9.19098
1391,-9.23193
1392,-9.27158
1393,-9.31145
1394,-9.3485
1395,-9.38512
1396,-9.41914
1397,-9.45316
1398,-9.48588
1399,-9.51729
1400,-9.54676
1401,-9.57363
1402,-9.5992
1403,-9.62325
1404,-9.64643
1405,-9.66788
1406,-9.68738
1407,-9.70407
1408,-9.71988
1409,-9.73419
1410,-9.74589
1411,-9.75607
1412,-9.76214
1413,-9.76842
1414,-9.77102
1415,-9.77232
1416,-9.77427
1417,-9.77384
1418,-9.77145
1419,-9.7669
1420,-9.76127
1421,-9.75304
1422,-9.73982
1423,-9.72357
1424,-9.7058
1425,-9.68587
1426,-9.6629
1427,-9.63646
1428,-9.60895
1429,-9.57775
1430,-9.54481
1431,-9.50928
1432,-9.47157
1433,-9.43192
1434,-9.39032
1435,-9.34612
1436,-9.29867
1437,-9.25078
1438,-9.19943
1439,-9.14656
1440,-9.09239
1441,-9.03476
1442,-8.97626
1443,-8.91559
1444,-8.85188
1445,-8.7858
1446,-8.71711
1447,-8.64734
1448,-8.57454
1449,-8.50066
1450,-8.42374
1451,-8.3453
1452,-8.26426
1453,-8.18236
1454,-8.09872
1455,-8.01162
1456,-7.92452
1457,-7.83503
1458,-7.74424
1459,-7.65172
1460,-7.55834
1461,-7.46257
1462,-7.36593
1463,-7.26799
1464,-7.16681
1465,-7.0667
1466,-6.96508
1467,-6.86194
1468,-6.75707
1469,-6.65177
1470,-6.54473
1471,-6.43705
1472,-6.32741
1473,-6.22015
1474,-6.10987
1475,-6.00088
1476,-5.88886
1477,-5.7764
1478,-5.66395
1479,-5.54998
1480,-5.43579
1481,-5.32225
1482,-5.20785
1483,-5.09388
1484,-4.97839
1485,-4.86095
1486,-4.7472
1487,-4.63258
1488,-4.51709
1489,-4.40377
1490,-4.2898
1491,-4.17518
1492,-4.06294
1493,-3.95113
1494,-3.83846
1495,-3.72818
1496,-3.61616
1497,-3.50479
1498,-3.39601
1499,-3.28703
1500,-3.18086
1501,-3.07339
1502,-2.96678
1503,-2.86234
1504,-2.75856
1505,-2.65585
1506,-2.55488
1507,-2.45565
1508,-2.35663
1509,-2.26085
1510,-2.16682
1511,-2.07256
1512,-1.97983
1513,-1.88861
1514,-1.79999
1515,-1.71375
1516,-1.62903
1517,-1.54583
1518,-1.46457
1519,-1.38592
1520,-1.30792
1521,-1.23273
1522,-1.1595
1523,-1.08756
1524,-1.01866
1525,-0.951922
1526,-0.888003
1527,-0.825384
1528,-0.766448
1529,-0.707079
1530,-0.652694
1531,-0.600692
1532,-0.550857
1533,-0.504922
1534,-0.460504
1535,-0.417169
1536,-0.378167
1537,-0.341116
1538,-0.307314
1539,-0.273513
1540,-0.245129
1541,-0.216961
1542,-0.192043
1543,-0.169943
1544,-0.151092
1545,-0.135275
1546,-0.119891
1547,-0.108624
1548,-0.098657
1549,-0.092373
1550,-0.08804
1551,-0.085873
1552,-0.085439
1553,-0.086306
1554,-0.08934
1555,-0.094323
1556,-0.10364
1557,-0.115341
1558,-0.132241
1559,-0.153259
1560,-0.177743
1561,-0.204827
1562,-0.232995
1563,-0.264413
1564,-0.296697
1565,-0.333099
1566,-0.371667
1567,-0.413052
1568,-0.45682
1569,-0.501888
1570,-0.549557
1571,-0.600475
1572,-0.652911
1573,-0.706429
1574,-0.762115
1575,-0.8204
1576,-0.881503
1577,-0.943038
1578,-1.00847
1579,-1.07434
1580,-1.14151
1581,-1.2115
1582,-1.28343
1583,-1.35689
1584,-1.43207
1585,-1.50726
1586,-1.58591
1587,-1.66435
1588,-1.7443
1589,-1.82534
1590,-1.90789
1591,-1.99261
